Tokyo	35676000	139.748689741861	35.6839177113378
New York	19040000	-74.0053780488293	40.7381845017629
Mexico City	19028000	-99.1360208861628	19.4343637298345
Mumbai	18978000	72.8293779578763	19.0031122972043
Sao Paulo	18845000	-46.6488782744749	-23.5700291320421
Delhi	15926000	77.2092899952401	28.6631443881192
Shanghai	14987000	121.403320470608	31.2161528692896
Kolkata	14787000	88.3026737620059	22.4876238728558
Dhaka	12797394	90.3849270256707	23.7123779415253
Buenos Aires	12795000	-58.4243794896826	-34.6100658073734
